2025-09-16 15:57:50.308 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 15:57:50.311 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 15:57:50.312 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-16 15:57:50.383 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-16 15:57:50.384 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2272 ms
2025-09-16 15:57:51.196 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-16 15:57:51.233 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-16 15:57:51.256 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 4.199 seconds (process running for 6.308)
2025-09-16 15:57:51.261 [main] INFO  com.example.demo.DemoApplication - SuccessOpenApplication!!!
2025-09-16 15:58:12.777 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-16 15:58:12.788 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-16 15:58:19.249 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
2025-09-16 15:58:20.084 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.6 with PID 45692 (C:\Users\iit\Desktop\project\demo\out\production\classes started by iit in C:\Users\iit\Desktop\project\demo)
2025-09-16 15:58:20.089 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-16 15:58:20.091 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-16 15:58:21.343 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo]' package. Please check your configuration.
2025-09-16 15:58:21.952 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-16 15:58:21.985 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 15:58:21.990 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 15:58:21.990 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-16 15:58:22.091 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-16 15:58:22.091 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1891 ms
2025-09-16 15:58:22.954 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-16 15:58:22.989 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-16 15:58:23.004 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 3.621 seconds (process running for 5.595)
2025-09-16 15:58:23.008 [main] INFO  com.example.demo.DemoApplication - SuccessOpenApplication!!!
2025-09-16 15:59:50.423 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-16 15:59:50.427 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-16 16:00:00.027 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
2025-09-16 16:00:01.386 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.6 with PID 18960 (C:\Users\iit\Desktop\project\demo\out\production\classes started by iit in C:\Users\iit\Desktop\project\demo)
2025-09-16 16:00:01.390 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-16 16:00:01.392 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-16 16:00:02.412 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo]' package. Please check your configuration.
2025-09-16 16:00:02.923 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-16 16:00:02.950 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 16:00:02.953 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 16:00:02.954 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-16 16:00:03.045 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-16 16:00:03.045 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1591 ms
2025-09-16 16:00:03.727 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-16 16:00:03.757 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-16 16:00:03.772 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 3.4 seconds (process running for 6.14)
2025-09-16 16:00:03.776 [main] INFO  com.example.demo.DemoApplication - SuccessOpenApplication!!!
2025-09-16 16:26:25.614 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-16 16:26:25.627 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-16 16:26:31.461 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
2025-09-16 16:26:32.378 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.6 with PID 8172 (C:\Users\iit\Desktop\project\demo\out\production\classes started by iit in C:\Users\iit\Desktop\project\demo)
2025-09-16 16:26:32.382 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-16 16:26:32.384 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-16 16:26:33.475 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo]' package. Please check your configuration.
2025-09-16 16:26:33.864 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-16 16:26:33.891 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 16:26:33.895 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 16:26:33.896 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-16 16:26:33.975 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-16 16:26:33.976 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1446 ms
